date,0_days_air,10_days_air,10_days_grain,1_days_air,2_days_air,3_days_air,4_days_air,5_days_air,6_days_air,7_days_air,8_days_air,9_days_air,air_average,grain_average
2015-09-20,22.5,21.28,15.32,21.9,20.3,20.6,21.8,20.6,21.28,21.28,21.28,21.28,22.0,15.744519233703613
2015-09-21,22.0,21.39,15.2,22.5,21.9,20.3,20.6,21.8,20.6,21.39,21.39,21.39,21.5,15.80445957183838
2015-09-22,21.5,21.4,15.24,22.0,22.5,21.9,20.3,20.6,21.8,20.6,21.4,21.4,21.9,17.231132507324222
2015-09-23,21.9,21.46,15.25,21.5,22.0,22.5,21.9,20.3,20.6,21.8,20.6,21.46,21.5,16.076406478881836
2015-09-24,21.5,21.46,15.26,21.9,21.5,22.0,22.5,21.9,20.3,20.6,21.8,20.6,20.9,16.205934524536133
2015-09-25,20.9,20.6,15.26,21.5,21.9,21.5,22.0,22.5,21.9,20.3,20.6,21.8,22.5,16.273059844970707
2015-09-26,22.5,21.8,15.29,20.9,21.5,21.9,21.5,22.0,22.5,21.9,20.3,20.6,21.8,18.98316764831543
2015-09-27,21.8,20.6,15.33,22.5,20.9,21.5,21.9,21.5,22.0,22.5,21.9,20.3,20.2,19.22417449951172
2015-09-28,20.2,20.3,15.55,21.8,22.5,20.9,21.5,21.9,21.5,22.0,22.5,21.9,20.0,18.838912963867188
2015-09-29,20.0,21.9,15.66,20.2,21.8,22.5,20.9,21.5,21.9,21.5,22.0,22.5,21.5,19.27580070495605
2015-09-30,21.5,22.5,15.74,20.0,20.2,21.8,22.5,20.9,21.5,21.9,21.5,22.0,20.2,19.583227157592773
2015-10-01,20.2,22.0,15.8,21.5,20.0,20.2,21.8,22.5,20.9,21.5,21.9,21.5,19.8,19.71964263916016
2015-10-02,19.8,21.5,17.23,20.2,21.5,20.0,20.2,21.8,22.5,20.9,21.5,21.9,16.1,18.4692497253418
2015-10-03,16.1,21.9,16.08,19.8,20.2,21.5,20.0,20.2,21.8,22.5,20.9,21.5,19.1,17.878705978393555
2015-10-04,19.1,21.5,16.21,16.1,19.8,20.2,21.5,20.0,20.2,21.8,22.5,20.9,19.0,18.07781219482422
2015-10-05,19.0,20.9,16.27,19.1,16.1,19.8,20.2,21.5,20.0,20.2,21.8,22.5,20.1,18.17168617248535
2015-10-07,19.3,21.8,19.22,20.1,19.0,19.1,16.1,19.8,20.2,21.5,20.0,20.2,17.0,18.401704788208008
